gen_3_0;gen_24_10;gen_26_11;gen_39_16;gen_48_19;gen_61_25;gen_88_39;gen_99_44;gen_106_48;gen_111_51
0.266;0.28700000000000003;0.09;0.029;0.156;0.241;0.457;0.41300000000000003;0.443;0.459
0.258;0.28600000000000003;0.076;0.029;0.149;0.23;0.465;0.425;0.502;0.458
0.271;0.281;0.081;0.029;0.149;0.228;0.507;0.436;0.504;0.489
0.299;0.256;0.137;0.03;0.14100000000000001;0.219;0.553;0.481;0.547;0.54
0.353;0.241;0.27;0.033;0.128;0.214;0.597;0.539;0.591;0.578
0.336;0.256;0.374;0.037;0.114;0.212;0.636;0.541;0.578;0.627
0.395;0.296;0.41100000000000003;0.039;0.113;0.216;0.652;0.562;0.58;0.654
0.41500000000000004;0.307;0.397;0.041;0.117;0.221;0.623;0.5640000000000001;0.578;0.63
0.436;0.34400000000000003;0.315;0.047;0.108;0.20700000000000002;0.644;0.578;0.645;0.609
0.38;0.338;0.212;0.054;0.08700000000000001;0.197;0.669;0.5730000000000001;0.687;0.5740000000000001
0.274;0.299;0.14300000000000002;0.064;0.111;0.245;0.742;0.638;0.753;0.617
0.271;0.334;0.154;0.078;0.137;0.277;0.8;0.733;0.834;0.68
0.337;0.373;0.159;0.082;0.152;0.298;0.882;0.8150000000000001;0.911;0.767
0.385;0.428;0.195;0.07100000000000001;0.16;0.307;0.9550000000000001;0.907;0.9560000000000001;0.859
0.459;0.53;0.257;0.07100000000000001;0.162;0.318;0.977;0.9450000000000001;0.97;0.909
0.559;0.5700000000000001;0.33;0.107;0.219;0.362;0.98;0.9560000000000001;0.972;0.929
0.6970000000000001;0.616;0.387;0.166;0.289;0.424;0.98;0.961;0.972;0.937
0.752;0.725;0.438;0.202;0.309;0.462;0.983;0.968;0.976;0.9480000000000001
0.794;0.762;0.47700000000000004;0.216;0.339;0.484;0.983;0.971;0.981;0.9490000000000001
0.801;0.797;0.51;0.223;0.369;0.521;0.974;0.965;0.977;0.9410000000000001
0.801;0.806;0.51;0.228;0.40700000000000003;0.531;0.965;0.9550000000000001;0.97;0.933
0.795;0.803;0.492;0.226;0.427;0.534;0.96;0.9530000000000001;0.9580000000000001;0.9580000000000001
0.789;0.789;0.47700000000000004;0.228;0.437;0.5700000000000001;0.9440000000000001;0.935;0.935;0.9490000000000001
0.775;0.749;0.47400000000000003;0.23500000000000001;0.443;0.593;0.912;0.907;0.909;0.925
0.725;0.62;0.444;0.23600000000000002;0.436;0.619;0.886;0.884;0.883;0.9
