gen_14_56;gen_10_62;gen_48_57;gen_53_55;gen_55_58;gen_58_54;gen_61_61;gen_79_59;gen_59_63;gen_89_60
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.02;0.003;0.0;0.032;0.006;0.0;0.0
0.038;0.031;0.012;0.108;0.026000000000000002;0.011;0.159;0.041;0.01;0.051000000000000004
0.137;0.129;0.039;0.125;0.046;0.023;0.20400000000000001;0.049;0.02;0.189
0.203;0.27;0.084;0.134;0.062;0.043000000000000003;0.233;0.045;0.029;0.327
0.17;0.387;0.114;0.105;0.084;0.067;0.214;0.037;0.039;0.405
0.051000000000000004;0.308;0.109;0.07200000000000001;0.085;0.109;0.158;0.027;0.041;0.41600000000000004
0.02;0.097;0.066;0.044;0.05;0.064;0.1;0.016;0.026000000000000002;0.343
0.024;0.028;0.026000000000000002;0.016;0.021;0.032;0.038;0.006;0.011;0.20800000000000002
0.028;0.039;0.003;0.001;0.003;0.004;0.003;0.0;0.001;0.043000000000000003
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.058;0.075;0.078;0.076;0.079;0.098;0.057;0.0
0.023;0.018000000000000002;0.312;0.304;0.303;0.332;0.325;0.369;0.309;0.009000000000000001
