gen_3_0;gen_24_10;gen_26_11;gen_39_16;gen_48_19;gen_61_25;gen_88_39;gen_99_44;gen_106_48;gen_111_51
0.543;0.388;0.146;0.056;0.307;0.5640000000000001;0.524;0.605;0.494;0.66
0.544;0.439;0.147;0.067;0.303;0.5660000000000001;0.45;0.494;0.438;0.528
0.542;0.448;0.19;0.078;0.304;0.5630000000000001;0.47500000000000003;0.494;0.458;0.498
0.495;0.35100000000000003;0.228;0.077;0.308;0.55;0.512;0.492;0.501;0.492
0.402;0.306;0.225;0.074;0.32;0.534;0.465;0.433;0.459;0.427
0.354;0.241;0.23600000000000002;0.073;0.317;0.505;0.45;0.392;0.454;0.362
0.312;0.249;0.232;0.078;0.335;0.459;0.486;0.427;0.482;0.40800000000000003
0.34400000000000003;0.275;0.23700000000000002;0.08700000000000001;0.321;0.40700000000000003;0.489;0.439;0.482;0.425
0.35000000000000003;0.275;0.251;0.09;0.274;0.336;0.429;0.41500000000000004;0.457;0.41000000000000003
0.303;0.209;0.218;0.093;0.228;0.253;0.293;0.28200000000000003;0.335;0.26
0.307;0.212;0.22;0.093;0.181;0.182;0.318;0.28600000000000003;0.312;0.28700000000000003
0.359;0.273;0.325;0.097;0.127;0.129;0.382;0.356;0.375;0.353
0.34400000000000003;0.304;0.386;0.09;0.094;0.091;0.37;0.34900000000000003;0.362;0.353
0.334;0.33;0.375;0.07200000000000001;0.064;0.074;0.31;0.28600000000000003;0.295;0.299
0.34900000000000003;0.318;0.336;0.057;0.033;0.076;0.277;0.24;0.261;0.25
0.341;0.302;0.358;0.046;0.013000000000000001;0.092;0.324;0.279;0.304;0.28800000000000003
0.338;0.31;0.41100000000000003;0.035;0.005;0.115;0.393;0.335;0.359;0.343
0.273;0.272;0.41100000000000003;0.029;0.006;0.14300000000000002;0.442;0.373;0.398;0.375
0.203;0.23;0.367;0.03;0.01;0.179;0.47100000000000003;0.396;0.428;0.395
0.154;0.219;0.299;0.038;0.022;0.203;0.499;0.421;0.454;0.41600000000000004
0.13;0.23;0.247;0.059000000000000004;0.052000000000000005;0.20400000000000001;0.498;0.431;0.46;0.418
