gen_14_56;gen_10_62;gen_48_57;gen_53_55;gen_55_58;gen_58_54;gen_61_61;gen_79_59;gen_59_63;gen_89_60
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.001;0.016;0.083;0.027;0.011;0.111;0.07100000000000001;0.026000000000000002;0.0
0.039;0.053;0.14300000000000002;0.311;0.14300000000000002;0.097;0.395;0.314;0.201;0.003
0.085;0.114;0.28300000000000003;0.456;0.231;0.186;0.5630000000000001;0.47700000000000004;0.363;0.018000000000000002
0.095;0.146;0.34800000000000003;0.517;0.262;0.25;0.655;0.5640000000000001;0.454;0.028
0.092;0.122;0.37;0.517;0.281;0.24;0.679;0.5740000000000001;0.451;0.035
0.079;0.1;0.228;0.442;0.274;0.186;0.645;0.498;0.28500000000000003;0.059000000000000004
0.059000000000000004;0.066;0.198;0.292;0.20500000000000002;0.167;0.527;0.184;0.147;0.029
0.036000000000000004;0.034;0.126;0.11900000000000001;0.114;0.129;0.261;0.085;0.057;0.009000000000000001
0.011;0.009000000000000001;0.033;0.024;0.021;0.031;0.048;0.017;0.013000000000000001;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.005;0.003;0.004;0.004;0.006;0.0;0.0;0.0
