zone;name
R1;gen_3_0
R1;gen_26_11
R1;gen_24_10
R2;gen_39_16
R2;gen_48_19
R3;gen_61_25
R3;gen_88_39
R3;gen_99_44
R3;gen_111_51
R1;gen_106_48
R1;gen_10_62
R1;gen_14_56
R2;gen_89_60
R2;gen_79_59
R2;gen_53_55
R2;gen_55_58
R2;gen_58_54
R3;gen_59_63
R3;gen_61_61
R3;gen_48_57
