Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:00;6877;225;5210;25;-1;236;-;181;1000
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:30;7019;236;5208;39;-1;249;-;197;1091
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:00;6801;236;5211;41;-1;87;-;193;1034
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:30;7028;236;5208;39;-1;87;-;198;1262
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:00;6819;192;5209;36;-1;89;-;198;1097
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:30;6806;191;5212;37;-1;86;-;197;1084
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:00;6629;191;5209;33;-1;86;-;196;914
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:30;6357;235;5212;35;-1;85;-;195;596
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:00;6117;236;5211;37;-1;81;-;199;355
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:30;6034;235;5211;34;-1;77;-;201;277
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:00;5962;235;5210;37;-1;74;-;201;206
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:30;6002;235;5209;37;-1;82;-;203;238
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:45;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:00;5970;235;5209;34;-1;78;-;200;216
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:15;;;;;;;;;
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:30;6053;235;5209;35;-1;76;-;202;297
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:45;;;;;;;;;
